Phần thi,Câu hỏi (đề gốc),Số HS đã làm,Số HS làm đúng,Số HS làm sai,Bước điểm phạt (trả lời sai hoặc không trả lời),Bước điểm thưởng,,,,
,,,,,,Đúng 1 ý,Đúng 2 ý,Đúng 3 ý,Đúng,Công thức tính cho từng phần thi: Tổng điểm thưởng + Tổng điểm phạt + 15. Điểm cho câu đúng sai sẽ theo số ý đúng
Toán,Câu 1,536,400,136,-0.53321,,,,0.39749,
,Câu 2,481,254,227,-0.29194,,,,0.43361,
,Câu 3,528,502,26,-1.17063,-0.95533,-0.72012,-0.47733,0.03429,
,Câu 4,LỖI ĐỀ THI,,,0.00000,,,,0.00000,
,Câu 5,401,171,230,-0.21612,,,,0.57877,
,Câu 6,302,179,123,-0.34922,,,,0.35518,
,Câu 7,455,237,218,-0.28607,,,,0.44291,
,Câu 8,389,288,101,-0.52426,,,,0.20414,
,Câu 9,453,386,67,-0.74304,,,,0.10869,
,Câu 10,503,326,177,-0.40606,,,,0.29451,
,Câu 11,526,431,95,-0.66537,,,,0.13527,
,Câu 12,472,434,38,-0.97950,-0.77368,-0.55915,-0.25355,0.05700,
,Câu 13,404,161,243,-0.19764,,,,0.62475,
,Câu 14,488,160,328,-0.15446,,,,0.75726,
,Câu 15,507,335,172,-0.42028,,,,0.28139,
,Câu 16,448,431,17,-1.27194,-1.19160,-0.92908,-0.54607,0.02627,
,Câu 17,321,106,215,-0.15583,,,,0.75241,
,Câu 18,408,62,346,-0.06408,,,,1.27946,
,Câu 19,293,61,232,-0.09076,,,,1.06566,
,Câu 20,346,20,326,-0.02315,,,,1.93583,
,Câu 21,195,56,139,-0.13161,,,,0.84724,
,Câu 22,298,295,3,-1.78781,-1.48874,-1.04001,-0.57955,0.00687,
,Câu 23,280,106,174,-0.18496,,,,0.65961,
,Câu 24,292,133,159,-0.23632,,,,0.53402,
,Câu 25,275,261,14,-1.15769,-0.89700,-0.61516,-0.32906,0.03548,
,Câu 26,267,31,236,-0.04798,,,,1.46221,
,Câu 27,164,20,144,-0.05056,,,,1.42885,
,Câu 28,369,280,89,-0.55291,,,,0.18743,
,Câu 29,381,365,16,-1.23252,-0.95557,-0.64449,-0.32650,0.02913,
,Câu 30,301,282,19,-1.07408,-0.82209,-0.54508,-0.25147,0.04428,
TDKH,Câu 31,428,281,147,-0.67340,,,,0.25254,
,Câu 32,399,208,191,-0.46420,,,,0.39098,
,Câu 33,356,103,253,-0.21521,,,,0.74436,
,Câu 34,335,326,9,-2.27908,-1.88683,-1.70855,-1.66405,0.01635,
,Câu 35,351,257,94,-0.83018,,,,0.18709,
,Câu 36,345,226,119,-0.67071,,,,0.25389,
,Câu 37,333,173,160,-0.46186,,,,0.39304,
,Câu 38,325,30,295,-0.06103,,,,1.43004,
,Câu 39,186,68,118,-0.28674,,,,0.60394,
,Câu 40,259,135,124,-0.46411,,,,0.39106,
,Câu 41,156,38,118,-0.17591,,,,0.84764,
,Câu 42,148,39,109,-0.19273,,,,0.80045,
,Câu 43,247,151,96,-0.59549,,,,0.29536,
,Câu 44,308,59,249,-0.13399,,,,0.99186,
,Câu 45,299,95,204,-0.24091,,,,0.68816,
,Câu 46,301,46,255,-0.10450,,,,1.12745,
,Câu 47,274,141,133,-0.45544,,,,0.39875,
,Câu 48,250,142,108,-0.52888,,,,0.33949,
,Câu 49,208,117,91,-0.52091,,,,0.34533,
,Câu 50,218,106,112,-0.41966,,,,0.43277,
,Câu 51,358,235,123,-0.67319,-0.34438,-0.30280,-0.22145,0.25265,
,Câu 52,352,131,221,-0.29330,,,,0.59325,
,Câu 53,275,150,125,-0.49682,,,,0.36380,
,Câu 54,335,121,214,-0.28239,,,,0.61120,
,Câu 55,341,165,176,-0.41676,,,,0.43570,
,Câu 56,346,181,165,-0.46660,,,,0.38889,
,Câu 57,395,154,241,-0.31133,,,,0.56534,
,Câu 58,399,297,102,-0.85947,,,,0.17719,
,Câu 59,406,337,69,-1.11673,,,,0.11180,
,Câu 60,403,156,247,-0.30847,,,,0.56963,
